Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0030A,RS0030A,SPO-RS0030A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0030A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,143.7398300000,µg/m3,2023-01-01 00:00:00 +01:00,2023-01-01 01:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0030A,RS0030A,SPO-RS0030A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0030A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,151.2416700000,µg/m3,2023-01-01 01:00:00 +01:00,2023-01-01 02:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0030A,RS0030A,SPO-RS0030A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0030A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,120.8835000000,µg/m3,2023-01-01 02:00:00 +01:00,2023-01-01 03:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0030A,RS0030A,SPO-RS0030A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0030A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,108.0783300000,µg/m3,2023-01-01 03:00:00 +01:00,2023-01-01 04:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0030A,RS0030A,SPO-RS0030A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0030A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,90.6093300000,µg/m3,2023-01-01 04:00:00 +01:00,2023-01-01 05:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0030A,RS0030A,SPO-RS0030A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0030A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,75.7276700000,µg/m3,2023-01-01 05:00:00 +01:00,2023-01-01 06:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0030A,RS0030A,SPO-RS0030A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0030A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,92.3303300000,µg/m3,2023-01-01 06:00:00 +01:00,2023-01-01 07:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0030A,RS0030A,SPO-RS0030A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0030A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,81.1898300000,µg/m3,2023-01-01 07:00:00 +01:00,2023-01-01 08:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0030A,RS0030A,SPO-RS0030A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0030A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,80.1855000000,µg/m3,2023-01-01 08:00:00 +01:00,2023-01-01 09:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0030A,RS0030A,SPO-RS0030A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0030A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,67.7356700000,µg/m3,2023-01-01 09:00:00 +01:00,2023-01-01 10:00:00 +01:00,1,3
