Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0052A,RS0052A,SPO-RS0052A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0052A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,151.9983300000,µg/m3,2023-01-01 00:00:00 +01:00,2023-01-01 01:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0052A,RS0052A,SPO-RS0052A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0052A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,183.3166700000,µg/m3,2023-01-01 01:00:00 +01:00,2023-01-01 02:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0052A,RS0052A,SPO-RS0052A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0052A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,237.8900000000,µg/m3,2023-01-01 02:00:00 +01:00,2023-01-01 03:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0052A,RS0052A,SPO-RS0052A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0052A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,185.7566700000,µg/m3,2023-01-01 03:00:00 +01:00,2023-01-01 04:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0052A,RS0052A,SPO-RS0052A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0052A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,159.3366700000,µg/m3,2023-01-01 04:00:00 +01:00,2023-01-01 05:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0052A,RS0052A,SPO-RS0052A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0052A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,115.7650000000,µg/m3,2023-01-01 05:00:00 +01:00,2023-01-01 06:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0052A,RS0052A,SPO-RS0052A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0052A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,93.0300000000,µg/m3,2023-01-01 06:00:00 +01:00,2023-01-01 07:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0052A,RS0052A,SPO-RS0052A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0052A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,90.8150000000,µg/m3,2023-01-01 07:00:00 +01:00,2023-01-01 08:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0052A,RS0052A,SPO-RS0052A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0052A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,75.0466700000,µg/m3,2023-01-01 08:00:00 +01:00,2023-01-01 09:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0052A,RS0052A,SPO-RS0052A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0052A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,85.1058300000,µg/m3,2023-01-01 09:00:00 +01:00,2023-01-01 10:00:00 +01:00,1,3
