Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0051A,RS0051A,SPO-RS0051A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0051A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,30.1681800000,µg/m3,2023-01-16 13:00:00 +01:00,2023-01-16 14:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0051A,RS0051A,SPO-RS0051A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0051A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,25.9750000000,µg/m3,2023-01-16 14:00:00 +01:00,2023-01-16 15:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0051A,RS0051A,SPO-RS0051A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0051A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,24.6400000000,µg/m3,2023-01-16 15:00:00 +01:00,2023-01-16 16:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0051A,RS0051A,SPO-RS0051A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0051A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,28.7416700000,µg/m3,2023-01-16 16:00:00 +01:00,2023-01-16 17:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0051A,RS0051A,SPO-RS0051A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0051A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,39.2900000000,µg/m3,2023-01-16 17:00:00 +01:00,2023-01-16 18:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0051A,RS0051A,SPO-RS0051A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0051A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,28.1716700000,µg/m3,2023-01-16 18:00:00 +01:00,2023-01-16 19:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0051A,RS0051A,SPO-RS0051A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0051A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,,µg/m3,2023-01-16 12:00:00 +01:00,2023-01-16 13:00:00 +01:00,-1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0051A,RS0051A,SPO-RS0051A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0051A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,24.0333300000,µg/m3,2023-01-16 19:00:00 +01:00,2023-01-16 20:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0051A,RS0051A,SPO-RS0051A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0051A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,26.4400000000,µg/m3,2023-01-16 20:00:00 +01:00,2023-01-16 21:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0051A,RS0051A,SPO-RS0051A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0051A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,19.5566700000,µg/m3,2023-01-16 21:00:00 +01:00,2023-01-16 22:00:00 +01:00,1,3
