Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0053A,RS0053A,SPO-RS0053A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0053A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,74.7413800000,µg/m3,2023-01-01 00:00:00 +01:00,2023-01-01 01:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0053A,RS0053A,SPO-RS0053A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0053A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,83.5886400000,µg/m3,2023-01-01 02:00:00 +01:00,2023-01-01 03:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0053A,RS0053A,SPO-RS0053A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0053A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,73.3058600000,µg/m3,2023-01-01 03:00:00 +01:00,2023-01-01 04:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0053A,RS0053A,SPO-RS0053A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0053A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,82.8074100000,µg/m3,2023-01-01 01:00:00 +01:00,2023-01-01 02:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0053A,RS0053A,SPO-RS0053A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0053A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,61.0713600000,µg/m3,2023-01-01 04:00:00 +01:00,2023-01-01 05:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0053A,RS0053A,SPO-RS0053A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0053A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,59.6261400000,µg/m3,2023-01-01 05:00:00 +01:00,2023-01-01 06:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0053A,RS0053A,SPO-RS0053A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0053A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,46.0156700000,µg/m3,2023-01-01 06:00:00 +01:00,2023-01-01 07:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0053A,RS0053A,SPO-RS0053A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0053A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,56.2589700000,µg/m3,2023-01-01 07:00:00 +01:00,2023-01-01 08:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0053A,RS0053A,SPO-RS0053A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0053A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,74.5177800000,µg/m3,2023-01-01 08:00:00 +01:00,2023-01-01 09:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0053A,RS0053A,SPO-RS0053A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0053A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,43.5762700000,µg/m3,2023-01-01 09:00:00 +01:00,2023-01-01 10:00:00 +01:00,1,3
