Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,214.0683300000,µg/m3,2023-01-01 00:00:00 +01:00,2023-01-01 01:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,174.6066700000,µg/m3,2023-01-01 01:00:00 +01:00,2023-01-01 02:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,203.6166700000,µg/m3,2023-01-01 02:00:00 +01:00,2023-01-01 03:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,163.0283300000,µg/m3,2023-01-01 03:00:00 +01:00,2023-01-01 04:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,162.7383300000,µg/m3,2023-01-01 04:00:00 +01:00,2023-01-01 05:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,118.5280000000,µg/m3,2023-01-01 05:00:00 +01:00,2023-01-01 06:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,109.3801700000,µg/m3,2023-01-01 06:00:00 +01:00,2023-01-01 07:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,93.1768300000,µg/m3,2023-01-01 07:00:00 +01:00,2023-01-01 08:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,79.9490000000,µg/m3,2023-01-01 08:00:00 +01:00,2023-01-01 09:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,90.1826700000,µg/m3,2023-01-01 09:00:00 +01:00,2023-01-01 10:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,100.0996700000,µg/m3,2023-01-01 10:00:00 +01:00,2023-01-01 11:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,86.9846700000,µg/m3,2023-01-01 11:00:00 +01:00,2023-01-01 12:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,94.3685000000,µg/m3,2023-01-01 12:00:00 +01:00,2023-01-01 13:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,53.3410000000,µg/m3,2023-01-01 13:00:00 +01:00,2023-01-01 14:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,52.0888300000,µg/m3,2023-01-01 14:00:00 +01:00,2023-01-01 15:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,48.6635000000,µg/m3,2023-01-01 15:00:00 +01:00,2023-01-01 16:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,134.2285000000,µg/m3,2023-01-01 16:00:00 +01:00,2023-01-01 17:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0055A,RS0055A,SPO-RS0055A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0055A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,197.7216700000,µg/m3,2023-01-01 17:00:00 +01:00,2023-01-01 18:00:00 +01:00,1,3
