Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,33.0042400000,µg/m3,2023-01-01 16:00:00 +01:00,2023-01-01 17:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,45.4715500000,µg/m3,2023-01-01 17:00:00 +01:00,2023-01-01 18:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,78.3144100000,µg/m3,2023-01-01 18:00:00 +01:00,2023-01-01 19:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,76.5378300000,µg/m3,2023-01-01 19:00:00 +01:00,2023-01-01 20:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,88.4755900000,µg/m3,2023-01-01 20:00:00 +01:00,2023-01-01 21:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,93.2618300000,µg/m3,2023-01-01 21:00:00 +01:00,2023-01-01 22:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,84.8068300000,µg/m3,2023-01-01 22:00:00 +01:00,2023-01-01 23:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,97.0026700000,µg/m3,2023-01-01 23:00:00 +01:00,2023-01-02 00:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,110.2958300000,µg/m3,2023-01-02 00:00:00 +01:00,2023-01-02 01:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,101.6510000000,µg/m3,2023-01-02 01:00:00 +01:00,2023-01-02 02:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,88.0143300000,µg/m3,2023-01-02 02:00:00 +01:00,2023-01-02 03:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,75.4168300000,µg/m3,2023-01-02 03:00:00 +01:00,2023-01-02 04:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,49.6332200000,µg/m3,2023-01-02 04:00:00 +01:00,2023-01-02 05:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,38.9751700000,µg/m3,2023-01-02 05:00:00 +01:00,2023-01-02 06:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,42.4647500000,µg/m3,2023-01-02 06:00:00 +01:00,2023-01-02 07:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,48.9119000000,µg/m3,2023-01-02 07:00:00 +01:00,2023-01-02 08:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,56.4343300000,µg/m3,2023-01-02 08:00:00 +01:00,2023-01-02 09:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,51.6486200000,µg/m3,2023-01-02 09:00:00 +01:00,2023-01-02 10:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,32.4052500000,µg/m3,2023-01-02 10:00:00 +01:00,2023-01-02 11:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,38.6790000000,µg/m3,2023-01-02 11:00:00 +01:00,2023-01-02 12:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,27.4468300000,µg/m3,2023-01-02 12:00:00 +01:00,2023-01-02 13:00:00 +01:00,1,3
