Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,171.7883300000,µg/m3,2023-01-01 00:00:00 +01:00,2023-01-01 01:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,189.8283300000,µg/m3,2023-01-01 01:00:00 +01:00,2023-01-01 02:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,210.5661000000,µg/m3,2023-01-01 02:00:00 +01:00,2023-01-01 03:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,185.2333300000,µg/m3,2023-01-01 03:00:00 +01:00,2023-01-01 04:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,170.0683300000,µg/m3,2023-01-01 04:00:00 +01:00,2023-01-01 05:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,153.5700000000,µg/m3,2023-01-01 05:00:00 +01:00,2023-01-01 06:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,165.1300000000,µg/m3,2023-01-01 06:00:00 +01:00,2023-01-01 07:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,156.8266700000,µg/m3,2023-01-01 07:00:00 +01:00,2023-01-01 08:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,124.9881400000,µg/m3,2023-01-01 08:00:00 +01:00,2023-01-01 09:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,111.7883300000,µg/m3,2023-01-01 09:00:00 +01:00,2023-01-01 10:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,115.8800000000,µg/m3,2023-01-01 10:00:00 +01:00,2023-01-01 11:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,101.3766700000,µg/m3,2023-01-01 11:00:00 +01:00,2023-01-01 12:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,77.4608300000,µg/m3,2023-01-01 12:00:00 +01:00,2023-01-01 13:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,58.5926700000,µg/m3,2023-01-01 13:00:00 +01:00,2023-01-01 14:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,76.6320000000,µg/m3,2023-01-01 14:00:00 +01:00,2023-01-01 15:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,55.5200000000,µg/m3,2023-01-01 15:00:00 +01:00,2023-01-01 16:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,59.2769000000,µg/m3,2023-01-01 16:00:00 +01:00,2023-01-01 17:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,81.6566700000,µg/m3,2023-01-01 17:00:00 +01:00,2023-01-01 18:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,77.0988300000,µg/m3,2023-01-01 18:00:00 +01:00,2023-01-01 19:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,81.5916700000,µg/m3,2023-01-01 19:00:00 +01:00,2023-01-01 20:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,95.1316700000,µg/m3,2023-01-01 20:00:00 +01:00,2023-01-01 21:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,113.3474600000,µg/m3,2023-01-01 21:00:00 +01:00,2023-01-01 22:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,92.9241700000,µg/m3,2023-01-01 22:00:00 +01:00,2023-01-01 23:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,80.5100000000,µg/m3,2023-01-01 23:00:00 +01:00,2023-01-02 00:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,74.6116700000,µg/m3,2023-01-02 00:00:00 +01:00,2023-01-02 01:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,74.9953300000,µg/m3,2023-01-02 01:00:00 +01:00,2023-01-02 02:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,79.7083300000,µg/m3,2023-01-02 02:00:00 +01:00,2023-01-02 03:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,94.3294900000,µg/m3,2023-01-02 03:00:00 +01:00,2023-01-02 04:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,91.2293300000,µg/m3,2023-01-02 04:00:00 +01:00,2023-01-02 05:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,87.6950000000,µg/m3,2023-01-02 05:00:00 +01:00,2023-01-02 06:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0032A,RS0032A,SPO-RS0032A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0032A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,91.3233300000,µg/m3,2023-01-02 06:00:00 +01:00,2023-01-02 07:00:00 +01:00,1,3
