Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0050A,RS0050A,SPO-RS0050A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,82.6050000000,µg/m3,2023-01-01 00:00:00 +01:00,2023-01-01 01:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0050A,RS0050A,SPO-RS0050A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,65.3766700000,µg/m3,2023-01-01 01:00:00 +01:00,2023-01-01 02:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0050A,RS0050A,SPO-RS0050A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,66.5100000000,µg/m3,2023-01-01 02:00:00 +01:00,2023-01-01 03:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0050A,RS0050A,SPO-RS0050A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,65.5233300000,µg/m3,2023-01-01 03:00:00 +01:00,2023-01-01 04:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0050A,RS0050A,SPO-RS0050A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,62.3766700000,µg/m3,2023-01-01 04:00:00 +01:00,2023-01-01 05:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0050A,RS0050A,SPO-RS0050A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,72.8066700000,µg/m3,2023-01-01 05:00:00 +01:00,2023-01-01 06:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0050A,RS0050A,SPO-RS0050A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,70.2150000000,µg/m3,2023-01-01 06:00:00 +01:00,2023-01-01 07:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0050A,RS0050A,SPO-RS0050A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,61.4400000000,µg/m3,2023-01-01 07:00:00 +01:00,2023-01-01 08:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0050A,RS0050A,SPO-RS0050A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,65.8000000000,µg/m3,2023-01-01 08:00:00 +01:00,2023-01-01 09:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0050A,RS0050A,SPO-RS0050A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,67.9066700000,µg/m3,2023-01-01 09:00:00 +01:00,2023-01-01 10:00:00 +01:00,1,3
